congressionaldistrict,cty_fips,czone,dhs2_tot_cont_2002_2010,dhs2_cont_tcile1_2002_2004,dhs2_cont_tcile1_2002_2006,dhs2_cont_tcile1_2002_2008,dhs2_cont_tcile1_2002_2010,dhs2_cont_tcile1_2002_2012,dhs2_cont_tcile1_2002_2014,dhs2_cont_tcile1_2002_2016,dhs2_cont_tcile2_2002_2004,dhs2_cont_tcile2_2002_2006,dhs2_cont_tcile2_2002_2008,dhs2_cont_tcile2_2002_2010,dhs2_cont_tcile2_2002_2012,dhs2_cont_tcile2_2002_2014,dhs2_cont_tcile2_2002_2016,dhs2_cont_tcile3_2002_2004,dhs2_cont_tcile3_2002_2006,dhs2_cont_tcile3_2002_2008,dhs2_cont_tcile3_2002_2010,dhs2_cont_tcile3_2002_2012,dhs2_cont_tcile3_2002_2014,dhs2_cont_tcile3_2002_2016,d2_turnout_2002_2010,d2_shnr_2002_2004,d2_shnr_2002_2006,d2_shnr_2002_2008,d2_shnr_2002_2010,d2_shnr_2002_2012,d2_shnr_2002_2014,d2_shnr_2002_2016,d2_shnr_distr_2002_2010,d2_shnr_solidd_2002_2010,d2_shnr_solidr_2002_2010,d2_shnr_competitive_2002_2010,d2_rwin_2002_2004,d2_rwin_2002_2006,d2_rwin_2002_2008,d2_rwin_2002_2010,d2_rwin_2002_2012,d2_rwin_2002_2014,d2_rwin_2002_2016,d2_cfavg_demlib_2002_2004,d2_cfavg_demlib_2002_2006,d2_cfavg_demlib_2002_2008,d2_cfavg_demlib_2002_2010,d2_cfavg_demlib_2002_2012,d2_cfavg_demlib_2002_2014,d2_cfavg_demlib_2002_2016,d2_cfavg_demmod_2002_2004,d2_cfavg_demmod_2002_2006,d2_cfavg_demmod_2002_2008,d2_cfavg_demmod_2002_2010,d2_cfavg_demmod_2002_2012,d2_cfavg_demmod_2002_2014,d2_cfavg_demmod_2002_2016,d2_cfavg_repmod_2002_2004,d2_cfavg_repmod_2002_2006,d2_cfavg_repmod_2002_2008,d2_cfavg_repmod_2002_2010,d2_cfavg_repmod_2002_2012,d2_cfavg_repmod_2002_2014,d2_cfavg_repmod_2002_2016,d2_cfavg_repcon_2002_2004,d2_cfavg_repcon_2002_2006,d2_cfavg_repcon_2002_2008,d2_cfavg_repcon_2002_2010,d2_cfavg_repcon_2002_2012,d2_cfavg_repcon_2002_2014,d2_cfavg_repcon_2002_2016,d2_nominate_demlib_2002_2010,d2_nominate_demmod_2002_2010,d2_nominate_repmod_2002_2010,d2_nominate_repcon_2002_2010,d2_teaparty_2002_2010,d_party_2002_2004,d_party_2004_2006,d_party_2006_2008,d_party_2008_2010,d_party_2010_2012,d_party_2012_2014,d_party_2014_2016,d_imp_usch_pd,d_imp_otch_lag_pd,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_shind1_manuf_cbp,l_shind2_routine33,l_shind3_task_outsource,shnr_pres2000,shnr_pres1996,l_sh_dem_f,l_sh_dem_edu_c,l_sh_dem_fborn,l_sh_dem_age_1019,l_sh_dem_age_2029,l_sh_dem_age_3039,l_sh_dem_age_4049,l_sh_dem_age_5059,l_sh_dem_age_6069,l_sh_dem_age_7079,l_sh_dem_age_8000,l_sh_dem_white,l_sh_dem_black,l_sh_dem_asian,l_sh_dem_hispanic,sh_district_2002,majority_white,redistrict_2004,redistrict_2006,redistrict_2012,redistrict_2016
AL 6,1021,10700,55.123287,51.724327,62.022858,6.3881307,110.32405,110.32405,36.654449,-200,21.738234,34.72673,25.310242,33.271778,33.271778,-200,-200,64.987488,96.117279,66.784042,75.815132,75.815132,140.61888,-200,-0.005338103,0,0,0,0,0,7.0545554,8.2827091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.254647189,0.67577232,0,0,0,0,1,0,0,0,0.13256846,32.234402,-0.14603272,0.67688251,0.59634018,0.50544286,0.30426222,0.018866971,0.14159068,0.13492285,0.14406587,0.14479832,0.11896043,0.086580962,0.057560679,0.030788271,0.86707246,0.10607935,0.001818503,0.029096052,0.061333507,1,0,0,1,0
AL 7,1023,10802,19.002625,-122.79302,-116.56464,-88.411934,43.797661,43.797661,54.82114,28.73559,-54.086697,-63.811409,10.107271,-15.894942,-15.894942,-21.509556,-7.4566379,31.143251,-35.254486,32.028591,5.0709829,5.0709829,-87.575874,-55.265354,0.31347904,35.282906,0,0,43.918919,43.918919,1.7314196,1.7314196,27.515299,43.918919,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.601642385,1.561980243,0,0,0,0,1,0,0,0,0.35008153,27.402496,-0.78663242,0.49268341,0.39165157,0.52964449,0.30229917,0.005526944,0.14847381,0.11468408,0.1291295,0.14175355,0.13069966,0.094272077,0.066951387,0.037306871,0.55137545,0.44133902,0.000439643,0.006720261,0.025165271,1,0,0,1,0
AL 1,1025,11001,-117.70763,-55.915798,-158.0061,-61.924953,-81.853912,-81.853912,1.979152,-200,-79.201859,-131.27968,-131.0818,-124.61362,-124.61362,-134.13666,-134.40416,-103.94389,-113.72478,-132.21167,-116.51646,-116.51643,-113.04662,-165.38463,0.089296669,4.8737288,8.1816082,38.481503,38.481503,38.481503,18.839062,29.357719,38.44165,0,38.481503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,-100,0,0,0,0,0,0.39334378,0,0,0.465002791,1.144130032,0,0,0,0,1,0,0,0,0.1506284,28.370228,-0.65440798,0.56133455,0.49757996,0.52703917,0.33160096,0.005346826,0.15620627,0.11809667,0.13772562,0.13998637,0.11292927,0.086733416,0.057451464,0.037535436,0.55940717,0.43022212,0.001614813,0.006459253,0.022308255,1,0,0,1,0
AL 7,1025,11001,19.002625,-122.79302,-116.56464,-88.411934,43.797661,43.797661,54.802174,28.767458,-54.086697,-63.811409,10.107271,-15.894942,-15.894942,-21.512144,-7.5016828,31.143251,-35.254486,32.028591,5.0709829,5.0709829,-87.000381,-56.325584,0.089296669,35.076027,0,0,37.341236,37.341236,-5.3207817,-5.3668694,27.515299,37.341236,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001948059,0,0,0.465002791,1.144130032,0,0,0,0,1,0,0,0,0.1506284,28.370228,-0.65440798,0.56133455,0.49757996,0.52703917,0.33160096,0.005346826,0.15620627,0.11809667,0.13772562,0.13998637,0.11292927,0.086733416,0.057451464,0.037535436,0.55940717,0.43022212,0.001614813,0.006459253,0.020649031,1,0,0,1,0
AL 3,1027,9500,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,0.054816782,10.057789,10.252923,2.2227049,10.111934,10.111934,14.148277,16.503841,8.4113007,0,0,10.111934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231121287,2.696781938,0,0,0,0,1,0,0,0,0.32613847,29.975349,-0.51046491,0.64523375,0.53875279,0.51227725,0.28207231,0.00890978,0.13722464,0.1184229,0.13771573,0.13897853,0.12256209,0.098568819,0.071699172,0.048688088,0.82615405,0.15700856,0.00098218,0.017749405,0.022678422,1,0,0,1,0
AL 3,1029,9600,-65.813004,-84.071823,-185.25688,-34.923306,-75.545624,-75.545624,-98.868027,-98.16468,-12.021504,-66.04689,23.803648,-42.008091,-42.008091,-106.68721,-115.14009,-7.9156051,-65.178833,-58.123219,-72.010941,-72.010941,-93.206429,-101.23463,0.15065444,12.994087,12.017048,6.3398657,15.199984,15.199984,16.696327,18.641424,8.4113007,0,0,15.199984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.564123632,2.717089601,0,0,0,0,1,0,0,0,0.32883412,31.02747,-0.54100108,0.66700631,0.54285717,0.50173473,0.27063882,0.009417263,0.13793103,0.12022942,0.14947249,0.14317071,0.1299299,0.094880693,0.05820293,0.034199532,0.94739079,0.037031792,0.00141613,0.014019684,0.02232541,1,0,0,1,0
AL 2,1031,10302,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,0.076126158,3.5732269,0.86190701,-17.619938,-19.562632,-19.562632,-14.567905,-29.101902,-18.864763,0,0,-19.562632,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,1.172408372,2.145300966,0,0,0,0,1,0,0,0,0.22303851,28.461996,-1.0411412,0.65563589,0.60161537,0.51156712,0.46941319,0.026550498,0.14442278,0.12860255,0.13786541,0.14740342,0.12284765,0.089556344,0.064863004,0.034552332,0.77108794,0.1837212,0.009492147,0.027123695,0.069378741,1,0,0,1,0
AL 5,1033,6200,98.194023,-35.546677,42.44305,163.59549,117.5863,117.5863,116.39043,116.31379,-51.535267,-53.134178,85.518494,65.079445,65.079445,48.381855,49.956375,-0.043816496,5.4282598,157.38676,131.41934,131.41934,115.47478,120.53748,0.036177278,4.2692318,-24.521301,16.937281,26.22925,26.22925,67.413002,67.413002,32.720116,0,0,26.22925,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,0,0,0,0,0,0,0,100,100,100,100,0,-100,0,100,100,0,0,0,1,0,0,0,1.290500232,2.162475956,0,0,0,0,1,0,0,0,0.31899247,29.809921,-0.66157573,0.49943769,0.44819647,0.52147901,0.39447358,0.008820748,0.13422087,0.11747054,0.1391132,0.14769751,0.12736432,0.094572969,0.071693584,0.038993161,0.81523716,0.16617562,0.002382511,0.011239633,0.087832332,1,0,0,1,0
AL 2,1035,11002,168.77229,71.363838,133.71602,199.61758,199.6543,199.6543,199.65126,199.65305,24.796967,45.723888,129.89957,131.39278,131.39278,93.766685,98.798317,46.655842,29.21312,174.53754,164.2962,164.2962,148.03569,149.51611,0.090729773,5.0762892,1.5173972,-13.429189,-11.943975,-11.943975,-8.5899773,-10.766161,-18.864763,0,0,-11.943975,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,100,100,100,0,0,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,1,1,0,0,0,0.885005873,2.168076155,0,0,0,0,1,0,0,0,0.32067975,26.412863,-0.77466851,0.49230456,0.41895288,0.52679396,0.29555798,0.003832777,0.14663923,0.11406062,0.12924977,0.14188375,0.12548797,0.08936049,0.074029386,0.041024912,0.55404925,0.43551707,0.001135638,0.007239691,0.022078803,1,0,0,1,0
AL 6,1037,9500,55.123287,51.724327,62.022858,6.3881307,110.32405,110.32405,36.654449,-200,21.738234,34.72673,25.310242,33.271778,33.271778,-200,-200,64.987488,96.117279,66.784042,75.815132,75.815132,140.61888,-200,0.03527987,0,0,0,0,0,4.5596066,10.214334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.231121287,2.696781938,0,0,0,0,1,0,0,0,0.32613847,29.975349,-0.51046491,0.53099865,0.44795698,0.48926407,0.27377349,0.003196197,0.13653499,0.12293067,0.14891002,0.15022127,0.12088183,0.092525817,0.067693822,0.032781512,0.6394034,0.34191117,0.000409769,0.012948697,0.005183377,1,0,0,1,0
