congressionaldistrict,cty_fips,czone,dhs2_tot_cont_2002_2010,dhs2_cont_tcile1_2002_2004,dhs2_cont_tcile1_2002_2006,dhs2_cont_tcile1_2002_2008,dhs2_cont_tcile1_2002_2010,dhs2_cont_tcile1_2002_2012,dhs2_cont_tcile1_2002_2014,dhs2_cont_tcile1_2002_2016,dhs2_cont_tcile2_2002_2004,dhs2_cont_tcile2_2002_2006,dhs2_cont_tcile2_2002_2008,dhs2_cont_tcile2_2002_2010,dhs2_cont_tcile2_2002_2012,dhs2_cont_tcile2_2002_2014,dhs2_cont_tcile2_2002_2016,dhs2_cont_tcile3_2002_2004,dhs2_cont_tcile3_2002_2006,dhs2_cont_tcile3_2002_2008,dhs2_cont_tcile3_2002_2010,dhs2_cont_tcile3_2002_2012,dhs2_cont_tcile3_2002_2014,dhs2_cont_tcile3_2002_2016,d2_turnout_2002_2010,d2_shnr_2002_2004,d2_shnr_2002_2006,d2_shnr_2002_2008,d2_shnr_2002_2010,d2_shnr_2002_2012,d2_shnr_2002_2014,d2_shnr_2002_2016,d2_shnr_distr_2002_2010,d2_shnr_solidd_2002_2010,d2_shnr_solidr_2002_2010,d2_shnr_competitive_2002_2010,d2_rwin_2002_2004,d2_rwin_2002_2006,d2_rwin_2002_2008,d2_rwin_2002_2010,d2_rwin_2002_2012,d2_rwin_2002_2014,d2_rwin_2002_2016,d2_cfavg_demlib_2002_2004,d2_cfavg_demlib_2002_2006,d2_cfavg_demlib_2002_2008,d2_cfavg_demlib_2002_2010,d2_cfavg_demlib_2002_2012,d2_cfavg_demlib_2002_2014,d2_cfavg_demlib_2002_2016,d2_cfavg_demmod_2002_2004,d2_cfavg_demmod_2002_2006,d2_cfavg_demmod_2002_2008,d2_cfavg_demmod_2002_2010,d2_cfavg_demmod_2002_2012,d2_cfavg_demmod_2002_2014,d2_cfavg_demmod_2002_2016,d2_cfavg_repmod_2002_2004,d2_cfavg_repmod_2002_2006,d2_cfavg_repmod_2002_2008,d2_cfavg_repmod_2002_2010,d2_cfavg_repmod_2002_2012,d2_cfavg_repmod_2002_2014,d2_cfavg_repmod_2002_2016,d2_cfavg_repcon_2002_2004,d2_cfavg_repcon_2002_2006,d2_cfavg_repcon_2002_2008,d2_cfavg_repcon_2002_2010,d2_cfavg_repcon_2002_2012,d2_cfavg_repcon_2002_2014,d2_cfavg_repcon_2002_2016,d2_nominate_demlib_2002_2010,d2_nominate_demmod_2002_2010,d2_nominate_repmod_2002_2010,d2_nominate_repcon_2002_2010,d2_teaparty_2002_2010,d_party_2002_2004,d_party_2004_2006,d_party_2006_2008,d_party_2008_2010,d_party_2010_2012,d_party_2012_2014,d_party_2014_2016,d_imp_usch_pd,d_imp_otch_lag_pd,reg_midatl,reg_encen,reg_wncen,reg_satl,reg_escen,reg_wscen,reg_mount,reg_pacif,l_shind1_manuf_cbp,l_shind2_routine33,l_shind3_task_outsource,shnr_pres2000,shnr_pres1996,l_sh_dem_f,l_sh_dem_edu_c,l_sh_dem_fborn,l_sh_dem_age_1019,l_sh_dem_age_2029,l_sh_dem_age_3039,l_sh_dem_age_4049,l_sh_dem_age_5059,l_sh_dem_age_6069,l_sh_dem_age_7079,l_sh_dem_age_8000,l_sh_dem_white,l_sh_dem_black,l_sh_dem_asian,l_sh_dem_hispanic,sh_district_2002,majority_white,redistrict_2004,redistrict_2006,redistrict_2012,redistrict_2016
GA 3,13093,8502,59.4496,-6.2404866,-6.2404866,-1.3685135,83.021523,83.021523,78.416618,76.158958,-41.583477,-41.583477,-25.928215,-1.405425,-1.405425,-32.812298,-58.886917,-6.7642546,-6.7642546,-4.7590575,74.802414,74.802414,47.912273,46.766273,,-13.276136,-13.276136,-15.329152,1.7660081,1.7660081,10.789105,7.2912068,4.0608587,0,0,1.7660081,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.193809996,3.370412904,0,0,0,1,0,0,0,0,0.35660875,27.78936,-0.8840782,0.45510492,0.33662835,0.47722346,0.30633464,0.015097613,0.14906724,0.14143167,0.15045553,0.15331887,0.11175705,0.073492408,0.050151844,0.034099784,0.45969632,0.49535793,0.004251627,0.046594359,0.018459771,0,0,1,1,0
GA 2,13095,10200,143.92262,21.67976,21.67976,36.17992,152.96968,152.96968,149.73087,148.07486,6.5133929,6.5133929,30.56547,62.646439,62.646439,20.376968,-24.182888,63.329571,63.329571,80.55999,187.10324,187.10324,178.29207,177.76306,,25.83346,25.83346,25.994604,37.985645,37.985649,42.564014,39.93734,49.646027,0,0,37.985645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741929345,1.282986437,0,0,0,1,0,0,0,0,0.22255462,27.068293,-0.62187278,0.42381576,0.41667536,0.53364909,0.45396733,0.017342424,0.16242127,0.15537396,0.13410711,0.13612658,0.10527247,0.070389837,0.054681726,0.028355801,0.37802529,0.60128039,0.005746109,0.013449227,0.15266804,0,0,1,1,0
GA 11,13097,9100,-57.419617,-80.895905,-80.895905,-11.68756,-139.07661,-139.07661,-200,-200,-104.9733,-104.9733,-92.692398,-119.62069,-119.62069,-179.46933,-164.90092,-0.98361921,-0.98361921,55.313129,-11.948593,-11.948605,-16.361366,-13.586248,,-0.3636688,-0.3636688,-3.6546917,1.5736341,1.5736341,-42.706905,-42.706905,5.8551936,0,0,1.5736341,0,-1.49E-06,-1.49E-06,-1.49E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000190735,-1.49E-06,0,0.86760658,0,0,0.13239342,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.62861854,0.60085601,0.50895047,0.46526486,0.038514115,0.1513008,0.13532016,0.17686115,0.16003428,0.11611734,0.0580424,0.034315534,0.016479701,0.7728318,0.18513897,0.01171697,0.028641483,0.051640872,1,0,1,1,0
GA 8,13097,9100,128.61963,118.08205,118.08203,172.11682,-200,-200,-200,-200,39.428665,39.428665,50.746231,22.21232,22.212332,-78.824013,-48.687927,163.03491,163.03491,173.80415,160.45219,160.45219,159.46941,160.08859,,-2.2354603,-2.2354603,-5.5613785,-0.40768385,-0.40768385,-44.679756,-44.679104,-2.5703282,0,-0.40768385,0,0,2.98E-06,2.98E-06,2.98E-06,8.87E-07,8.87E-07,8.87E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,100,100,0,0,0,0.000190735,0,0,0.80105841,0,0,0.19885355,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.62861854,0.60085601,0.50895047,0.46526486,0.038514115,0.1513008,0.13532016,0.17686115,0.16003428,0.11611734,0.0580424,0.034315534,0.016479701,0.7728318,0.18513897,0.01171697,0.028641483,0.093239531,1,0,1,1,0
GA 2,13099,10301,143.92262,21.67976,21.67976,36.17992,152.96968,152.96968,149.73087,148.07486,6.5133929,6.5133929,30.56547,62.646439,62.646439,20.376968,-24.182888,63.329571,63.329571,80.55999,187.10324,187.10324,178.29207,177.76306,,30.366749,30.366749,16.628399,41.651096,41.651096,46.394478,42.146767,49.646027,0,0,41.651096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.178945958,2.748822144,0,0,0,1,0,0,0,0,0.40112627,26.827314,-0.62630641,0.54441088,0.45467344,0.53440177,0.34959349,0.007446981,0.16342884,0.10854784,0.12813663,0.13930711,0.10692893,0.088230535,0.06807512,0.048081592,0.50283307,0.48138255,0.001861745,0.012303707,0.019362252,1,0,1,1,0
GA 1,13101,8503,5.9843049,-62.583099,-62.583099,155.10515,-200,-200,-200,-200,7.2052174,7.2052174,-11.723062,48.237103,48.237103,-36.356621,-176.00786,52.887959,52.887959,-19.945538,-8.2383642,-8.2383642,133.34412,-200,,33.274334,33.274334,44.352871,50.046509,50.046509,55.448132,68.050423,30.985111,0,50.046509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634316765,1.610184526,0,0,0,1,0,0,0,0,0.23116426,27.113739,-0.71381682,0.69298601,0.52103072,0.46270645,0.2482695,0.12599893,0.17448056,0.1739478,0.15903036,0.12493341,0.089238144,0.068193927,0.038625468,0.016515717,0.77144378,0.069259457,0.000799148,0.19685669,0.005816349,1,0,1,1,0
GA 12,13103,8800,18.321331,134.62712,134.62712,86.79245,66.704445,66.704445,71.482849,-90.367416,48.656189,48.656189,39.388458,48.310257,48.310257,13.067104,-88.416321,52.83984,52.83984,-28.9744,-34.018291,-34.018299,-66.313934,-200,,-2.6049912,-2.6049912,-18.214344,-7.1798506,-7.1798506,-2.5001943,12.78652,-13.285452,0,0,-7.1798506,-100,-100,-100,-100,-100,-58.202892,-58.202892,0,0,0,0,0,0,0,100,100,100,100,100,58.202892,58.202892,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-58.202892,-58.202892,0,100,-100,0,0,1,0,0,0,0.58202893,0.41797107,0,0.221536665,0.267662493,0,0,0,1,0,0,0,0,0.11534594,27.867153,-0.85764003,0.69386727,0.62359923,0.50323701,0.38423622,0.013374184,0.16669776,0.12127348,0.16723059,0.16291462,0.10680698,0.061808977,0.036739044,0.017530305,0.8465699,0.12990542,0.004529106,0.014146796,0.055935655,1,0,1,1,0
GA 9,13105,9302,57.557533,4.4435768,4.4435768,138.22586,119.73145,119.73145,116.96825,110.96918,19.85745,19.85745,-5.305294,-117.4206,-117.4206,-87.362747,-43.874474,32.848141,32.848141,128.76491,85.41069,85.41069,38.334133,66.28006,,2.1268547,2.1268547,-7.1506023,0.47008991,0.47008991,6.9165587,41.743488,1.4455795,0,0.47008991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.923415103,3.280581783,0,0,0,1,0,0,0,0,0.41320136,31.369587,-0.36953896,0.5634985,0.4521412,0.52030617,0.27994418,0.018624153,0.14962703,0.121057,0.13485447,0.14509287,0.11861928,0.090780556,0.067475989,0.038515918,0.66939694,0.30851737,0.002437716,0.023840865,0.032551281,1,0,1,1,0
GA 3,13107,8702,-200,-6.2404866,-6.2404947,-200,-200,-200,-200,-200,-41.583477,-41.583477,-61.193676,-42.302456,-42.302456,-184.7356,-200,-6.7642546,-6.7642546,-200,-200,-200,-200,-200,,-11.444277,-11.444277,-29.858265,-16.25753,-16.25753,-7.5734673,3.8124084,-18.65358,0,0,-16.25753,0,0,0,0,0,100,100,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,1,0,1.187122418,3.511069705,0,0,0,1,0,0,0,0,0.28862914,26.333803,-0.9701106,0.54110491,0.45403111,0.51875257,0.26282954,0.040802307,0.17378761,0.1300087,0.1315199,0.13527499,0.11617896,0.079635479,0.058570318,0.037047215,0.63694644,0.33278382,0.002427073,0.03411641,0.033923622,1,0,1,1,0
GA 3,13109,8701,-200,-6.2404866,-6.2404947,-200,-200,-200,-200,-200,-41.583477,-41.583477,-61.193676,-42.302456,-42.302456,-184.7356,-200,-6.7642546,-6.7642546,-200,-200,-200,-200,-200,,-9.0759907,-9.0759907,-29.889357,-18.360397,-18.360397,-11.168438,3.6591351,-18.65358,0,0,-18.360397,0,0,0,0,0,100,100,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,1,0,0.49055488,2.337003377,0,0,0,1,0,0,0,0,0.21689877,27.269539,-1.1547917,0.60203463,0.51917404,0.51386374,0.2652905,0.043353979,0.16121963,0.14159124,0.14654598,0.14130539,0.10042877,0.074416392,0.056312531,0.035064317,0.61686516,0.32977608,0.003144355,0.059552167,0.016380705,1,0,1,1,0
GA 10,13111,6501,183.55766,178.61525,178.61525,-200,184.5184,184.51842,137.96875,-200,32.0509,32.050892,-176.45169,-123.61054,-123.61051,-66.521301,-0.059361406,29.091522,29.091528,-175.90503,191.87314,191.87314,191.17426,191.54417,,0,0,-0.31654835,28.504807,28.504807,30.96047,51.209187,23.367573,0,28.504807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,100,100,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0.699182302,1.872994259,0,0,0,1,0,0,0,0,0.38595283,29.979246,-0.77886647,0.66629142,0.55168897,0.51681989,0.32013154,0.010607132,0.12132539,0.10273765,0.12460855,0.14415598,0.14617638,0.12299222,0.087837152,0.041418325,0.97979593,0.001212244,0.002373977,0.00656632,0.033740122,1,0,1,1,0
GA 13,13113,9100,-104.32006,-70.1325,-70.132515,-73.574112,-77.659966,-77.659966,-95.191429,-100.21846,-97.379257,-97.379272,-112.44445,-105.80503,-105.80502,-158.81493,-146.02588,-4.2146916,-4.2146916,-200,-188.31778,-188.31783,-200,-200,,-28.18129,-28.18129,-27.507479,-24.894417,-24.894413,-66.483017,-66.483017,-38.543919,-24.894417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.71122777,0.68018067,0.51066697,0.68354344,0.050469521,0.1766762,0.079199679,0.13859943,0.19430657,0.14633532,0.065075658,0.041188654,0.020271085,0.83868599,0.11466859,0.024193814,0.028291861,0.00722342,1,0,1,1,0
GA 8,13113,9100,127.06966,118.08205,118.08205,99.903091,65.404366,65.404366,-47.251289,-34.245872,39.428665,39.428665,19.614243,28.674835,28.674835,-63.623875,-26.457018,163.03491,163.03491,157.61784,157.90855,157.90855,155.48349,172.05666,,-2.5750756,-2.5750756,-1.901263,0.71179867,0.71179867,-3.0290544,-28.763235,-0.95103383,0,0.71179867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0.13616098,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.71122777,0.68018067,0.51066697,0.68354344,0.050469521,0.1766762,0.079199679,0.13859943,0.19430657,0.14633532,0.065075658,0.041188654,0.020271085,0.83868599,0.11466859,0.024193814,0.028291861,0.13418536,1,0,1,1,0
GA 11,13115,6600,-27.888182,-80.895905,-80.895912,-82.95137,-82.06884,-82.06884,-80.516083,-81.702438,-104.9733,-104.97331,-100.62331,-66.265541,-66.265541,-87.809685,-74.52195,-0.98361921,-0.98361921,10.07737,3.9436758,3.9436758,-10.239374,8.3315792,,8.2146645,8.2146645,5.5427017,36.952938,36.952938,68.192635,68.192635,34.715443,0,0,36.952938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.905913207,2.118789218,0,0,0,1,0,0,0,0,0.40003046,31.92046,-0.23631465,0.61165148,0.54285395,0.51611549,0.38236347,0.052139349,0.14342186,0.14217412,0.14309059,0.14256059,0.11116877,0.082084693,0.064627618,0.035488322,0.81342679,0.1330536,0.009330316,0.055021256,0.14679129,1,0,1,1,0
GA 10,13117,9100,183.2453,178.61525,178.61525,135.70218,186.07486,186.07486,169.13591,-200,32.0509,32.050892,-170.49481,-117.74618,-117.74612,-131.88101,-67.12664,29.091522,29.091528,-171.73376,191.7086,191.7086,191.28107,191.46846,,0,0,-3.2481372,16.315186,16.315186,18.497742,21.780025,22.762358,0,16.315186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-97.775803,-97.775803,-97.775803,-97.775803,0,0,0,97.775803,97.775803,97.775803,97.775803,0,0,0,0,100,0,0,0,0,0,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.80576885,0.71595806,0.49343032,0.62234151,0.059782334,0.12159704,0.10928085,0.21291168,0.16218358,0.11348786,0.058024328,0.031176643,0.015100552,0.95045066,0.006950725,0.007977075,0.055656608,0.080684029,1,0,1,1,0
GA 7,13117,9100,71.059097,-168.68289,-168.68289,22.550381,-55.791561,-55.791569,-79.050087,-183.63962,-105.02042,-105.02042,-170.64525,-153.44157,-153.44157,-179.57924,-172.95721,-91.001656,-91.001656,-109.38468,96.470985,96.470985,94.792023,94.868347,,12.067854,12.067854,8.8857355,24.413794,24.413794,26.396317,23.248476,36.56488,0,24.413794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71.035263,-71.035263,-71.07486,-71.07486,0,0,0,71.035263,71.035263,71.07486,71.07486,0,0,0,0,100,0,0,0,0,0,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.80576885,0.71595806,0.49343032,0.62234151,0.059782334,0.12159704,0.10928085,0.21291168,0.16218358,0.11348786,0.058024328,0.031176643,0.015100552,0.95045066,0.006950725,0.007977075,0.055656608,0.075382516,1,0,1,1,0
GA 9,13119,9302,57.557533,4.4435768,4.4435768,138.22586,119.73145,119.73145,116.96825,110.96918,19.85745,19.85745,-5.305294,-117.4206,-117.4206,-87.362747,-43.874474,32.848141,32.848141,128.76491,85.41069,85.41069,38.334133,66.28006,,3.9479315,3.9479315,4.8983455,15.938717,15.938717,23.812658,39.899349,1.4455795,0,15.938717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.923415103,3.280581783,0,0,0,1,0,0,0,0,0.41320136,31.369587,-0.36953896,0.64206266,0.50281316,0.51520824,0.29558298,0.012028593,0.13837811,0.12487059,0.13892038,0.13823022,0.12516639,0.093517378,0.070347548,0.037959084,0.8948977,0.088341139,0.002514173,0.009218634,0.03302642,1,0,1,1,0
GA 6,13121,9100,127.81033,96.911888,96.91188,191.14699,-200,-200,-200,-200,100.21152,100.21152,81.483833,90.361389,90.361389,-95.221519,-71.866852,147.35057,147.35057,139.64958,138.8774,138.8774,134.9601,128.72093,,19.961189,19.961189,14.175815,48.835598,48.835598,51.185638,45.79929,47.638546,0,48.835598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.822993,-2.822993,0,0,0,0,0,2.8229952,2.8229952,0,0,-100,100,100,0,0.051456008,0,0,0.051456008,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.40819672,0.38524932,0.50769234,0.64638513,0.096346103,0.13392548,0.17542519,0.17760898,0.1521533,0.10535584,0.05355598,0.03741394,0.023694679,0.48112145,0.44565359,0.030420119,0.058891725,0.3823916,0,0,1,1,0
GA 5,13121,9100,62.952072,24.952307,24.952307,89.757179,48.409523,48.409523,-125.53893,-72.832108,7.7716579,7.7716579,91.5886,70.826385,70.826385,-200,-200,120.88987,120.88985,169.58142,150.98805,150.98804,177.61588,-200,,0,0,-0.44608229,25.11751,25.11751,15.265963,24.260468,25.505713,25.11751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.5127816,-5.5127816,0,0,0,0,0,5.5127816,5.5127816,0,0,0,0,0,0,0.071879327,0,0,0.073636055,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.40819672,0.38524932,0.50769234,0.64638513,0.096346103,0.13392548,0.17542519,0.17760898,0.1521533,0.10535584,0.05355598,0.03741394,0.023694679,0.48112145,0.44565359,0.030420119,0.058891725,0.81272769,0,0,1,1,0
GA 13,13121,9100,-78.239647,-70.1325,-70.1325,-31.043032,-79.755455,-79.75544,-118.24683,-116.57959,-97.379257,-97.379272,-73.509666,-96.190468,-96.190468,-154.31393,-145.78534,-4.2146916,-4.2146916,114.6114,-25.731262,-25.731262,-50.402241,-40.161301,,-26.055691,-26.055691,-26.207287,-20.059011,-20.05901,-29.91217,-25.824961,-31.28047,-20.059011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.40819672,0.38524932,0.50769234,0.64638513,0.096346103,0.13392548,0.17542519,0.17760898,0.1521533,0.10535584,0.05355598,0.03741394,0.023694679,0.48112145,0.44565359,0.030420119,0.058891725,0.093624935,0,0,1,1,0
GA 10,13123,6501,183.55766,178.61525,178.61525,-200,184.5184,184.51842,137.96875,-200,32.0509,32.050892,-176.45169,-123.61054,-123.61051,-66.521301,-0.059361406,29.091522,29.091528,-175.90503,191.87314,191.87314,191.17426,191.54417,,0,0,0.23381114,26.464874,26.464874,28.649282,47.549774,23.367573,0,26.464874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,-100,-100,-100,0,0,0,100,100,100,100,0,0,0,0,100,0,0,0,0,0,0,0,0.699182302,1.872994259,0,0,0,1,0,0,0,0,0.38595283,29.979246,-0.77886647,0.68900311,0.55876994,0.49258184,0.32688636,0.057639837,0.12832537,0.12794168,0.14495225,0.1386852,0.13565825,0.10146657,0.058407232,0.025835607,0.93634892,0.00268588,0.002344816,0.077378921,0.038264241,1,0,1,1,0
GA 12,13125,8401,18.321331,134.62712,134.62712,86.79245,66.704445,66.704445,67.385834,66.405365,48.656189,48.656189,39.388458,48.310257,48.310265,34.97422,32.064098,52.83984,52.83984,-28.9744,-34.018291,-34.018299,-1.9276583,-158.44891,,-7.2307529,-7.2307529,-31.552786,-12.736994,-12.736994,-24.788279,-12.736994,-13.285452,0,0,-12.736994,-100,-100,-100,-100,-100,-100,-100,0,0,0,0,0,0,0,100,100,100,100,100,100,100,0,0,0,0,0,0,0,-100,-100,-100,-100,-100,-100,-100,0,100,-100,0,0,1,0,0,0,1,0,0,0.810203811,1.921923054,0,0,0,1,0,0,0,0,0.26573309,28.280582,-0.79298341,0.75395626,0.60458189,0.51956183,0.25793651,0,0.12949921,0.11071987,0.13262911,0.14553991,0.12245696,0.084507041,0.083333336,0.059076682,0.90610331,0.082942098,0,0.004694836,0.004140782,1,0,1,1,0
GA 1,13127,8602,5.9843049,-62.583099,-62.583099,155.10515,-200,-200,-200,-200,7.2052174,7.2052174,-11.723062,48.237103,48.237103,-36.356621,-176.00786,52.887959,52.887959,-19.945538,-8.2383642,-8.2383642,133.34412,-200,,24.721617,24.721617,20.37422,26.330536,26.330536,27.216316,58.011871,30.985111,0,26.330536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.159451859,0.437570189,0,0,0,1,0,0,0,0,0.090738863,30.554682,-0.86752743,0.6484217,0.60428602,0.52163744,0.52970588,0.033210989,0.14512788,0.11580926,0.13755032,0.15202463,0.1256512,0.085484251,0.067753963,0.036126569,0.70663625,0.26453352,0.006038361,0.029881008,0.11058514,1,0,1,1,0
GA 10,13129,6600,165.8472,178.61525,178.61525,-11.500262,176.23463,176.23463,185.08786,179.1441,32.0509,32.050892,-0.34050882,74.515511,74.515511,-1.1696892,52.169331,29.091522,29.091528,61.292236,180.8503,180.8503,178.81787,181.45416,,0,0,1.8738031,29.153013,29.153013,53.930443,53.930443,26.786011,0,29.153013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-38.611012,-38.611012,-38.611012,-38.611012,0,0,0,38.611012,38.611012,38.611012,38.611012,0,0,0,0,38.611012,0,0,0,0,0,0,0,0.905913207,2.118789218,0,0,0,1,0,0,0,0,0.40003046,31.92046,-0.23631465,0.66330379,0.55238205,0.5024941,0.31779572,0.063735716,0.14254943,0.14676674,0.16052966,0.14166516,0.11631598,0.075389989,0.047478687,0.024351534,0.8969028,0.03462271,0.005305641,0.074097589,0.070277914,1,0,1,1,0
GA 2,13131,10102,143.92262,21.67976,21.67976,36.17992,152.96968,152.96968,149.73087,148.07486,6.5133929,6.5133929,30.56547,62.646439,62.646439,20.376968,-24.182888,63.329571,63.329571,80.55999,187.10324,187.10324,178.29207,177.76306,,36.670937,36.670937,39.012016,67.147743,67.147743,75.573334,68.788589,49.646027,0,0,67.147743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991327791,1.627385066,0,0,0,1,0,0,0,0,0.24829194,28.422314,-0.74195415,0.58867043,0.48301676,0.52470517,0.2966373,0.039097171,0.15748763,0.12709752,0.13808699,0.14248277,0.11699565,0.079251029,0.059723571,0.035462193,0.64605433,0.30149204,0.00304324,0.051650535,0.037801761,1,0,1,1,0
GA 9,13133,8402,57.557533,4.4435768,4.4435768,138.22586,119.73145,119.73145,122.37997,118.52012,19.85745,19.85745,-5.305294,-117.4206,-117.4206,-200,-200,32.848141,32.848141,128.76491,85.41069,85.41069,106.50147,-25.892235,,-2.5724649,-2.5724649,-10.534006,-3.4530759,-3.4530759,-36.584389,-3.4530759,1.4455795,0,-3.4530759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2.786038356,3.903025687,0,0,0,1,0,0,0,0,0.41085184,31.3057,-0.51486379,0.58236849,0.44588199,0.52103293,0.36779553,0.025753159,0.1475774,0.11196724,0.12140775,0.13813689,0.1440372,0.11016243,0.059558518,0.035054836,0.52950162,0.44446757,0.002498959,0.029154519,0.023097733,1,0,1,1,0
GA 10,13135,9100,98.378632,178.61525,178.61525,199.11371,197.43056,197.43056,197.5229,196.90945,32.0509,32.0509,-18.50174,23.14263,23.14263,-76.242607,-96.478058,29.091522,29.091528,-49.853706,124.56882,124.56882,140.31146,-99.509933,,0,0,-10.227966,-5.3829074,-5.3829074,-23.291939,-5.5179415,-3.8426757,0,-5.3829074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0.298523021,0.782411225,0,0,0,1,0,0,0,0,0.097036391,32.690586,0.5007571,0.66461504,0.6422227,0.49570906,0.65286827,0.16911945,0.1463103,0.14581068,0.19791214,0.16915004,0.1020413,0.043077722,0.024250232,0.011210846,0.72713816,0.13293274,0.071985967,0.10899349,0.065749489,1,0,1,1,0
